Local authority code,Local authority name,MSOA code,MSOA name,"Table 1a - Median price paid by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1b - Median price paid for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1c - Median price paid for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1d - Median price paid for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1e - Median price paid for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2a - Median price paid (newly built dwellings) by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2b - Median price paid (newly built dwellings) for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2c - Median price paid (newly built dwellings) for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2d - Median price paid (newly built dwellings) for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2e - Median price paid (newly built dwellings) for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3a - Median price paid (existing dwellings) by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3b - Median price paid (existing dwellings) for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3c - Median price paid (existing dwellings) for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3d - Median price paid (existing dwellings) for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3e - Median price paid (existing dwellings) for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025"
E06000059,Dorset,E02004254,Corfe Mullen,11.044716943728583,14.867888193480786,10.03936450397893,9.062331851264478,5.734756874628303,10.053524397496531,,,,,11.044716943728583,14.867888193480786,9.720766899832913,9.062331851264478,5.734756874628303
E06000059,Dorset,E02004255,Gillingham,7.292345161564385,11.016397156693381,7.129506386111976,6.371952082920337,3.1859760414601683,8.849933448500467,10.917277902070177,8.485316190422248,,,6.938347823624366,11.115516411316587,6.860468409277562,6.371952082920337,3.1718161479425673
E06000059,Dorset,E02004256,"Gillingham Outer, Bourton & Motcombe",9.203930786440486,12.786383846393475,7.646342499504404,7.078530769448614,5.557758205658294,,,,,,9.203930786440486,12.786383846393475,7.646342499504404,7.078530769448614,5.557758205658294
E06000059,Dorset,E02004257,Shaftesbury,7.646342499504404,10.761519073376569,7.674662286539605,6.513551018096344,4.247968055280224,10.283990824389,11.54031321684461,9.281810200787291,,,7.292345161564385,10.761519073376569,7.462263883775594,6.513551018096344,4.247968055280224
E06000059,Dorset,E02004258,Sturminster Newton & Stalbridge,8.963212596641274,10.867718274758573,7.731301860610008,7.363144629152389,3.5116535923649854,8.737928690776245,,7.207244201523604,10.025147970887259,,8.963212596641274,10.832318540964572,7.787941434680411,7.363144629152389,3.5116535923649854
E06000059,Dorset,E02004259,Child Okeford & Iwerne Minster,11.989889836028434,14.867888193480786,10.832318540964572,8.920732916088472,,11.949534139503271,11.949534139503271,,,,12.007589702925435,16.567075415592875,10.832318540964572,8.920732916088472,
E06000059,Dorset,E02004260,Blandford Outer & Tarrants,11.143779558777718,13.027102036192687,9.727790207017643,8.587975418424854,7.363144629152389,10.619778539265385,12.984622355639885,10.010988077369658,8.587918778850783,8.478944238339327,11.611112684432612,13.027102036192687,9.416329189204497,8.920732916088472,
E06000059,Dorset,E02004261,Blandford Forum Town,7.363144629152389,11.327914814080598,9.097731585058481,6.980827504177169,3.688652261334995,,,,,,7.363144629152389,11.327914814080598,9.097731585058481,6.980827504177169,3.688652261334995
E06000059,Dorset,E02004262,"Milborne, Winterborne & Okeford Fitzpaine",11.54031321684461,13.876695647248733,10.110163971566934,7.717141967092408,,,,,,,11.54031321684461,13.876695647248733,10.110163971566934,7.717141967092408,
E06000059,Dorset,E02004263,Bere Regis & Lytchett Matravers,11.75271161960862,14.867888193480786,9.522528390586503,7.787941434680411,4.814363795984254,,,,,,11.75271161960862,14.867888193480786,9.522528390586503,7.787941434680411,4.814363795984254
E06000059,Dorset,E02004264,Upton & Lytchett Minster,9.501288550310102,12.035909489960636,9.224462632041007,8.375577015660843,5.805556342216306,,,,,,9.501288550310102,12.035909489960636,9.224462632041007,8.375577015660843,5.805556342216306
