MSOA code,MSOA name,housing_market_system,score_rural_lifestyle,score_urban_working,score_retirement_amenity,affordability_ratio,coastal_inland,rural_urban,pct_65_plus,detached_ratio,terraced_ratio,flat_ratio
E02004280,Chickerell & Chesil Bank,rural_lifestyle,5.0,3.0,2.0,9.444648976239698,Coastal,Rural,29.12909610732351,12.035909489960636,7.929540369856419,
E02004281,Broadwey & Littlemoor,urban_working_coastal,0.0,7.0,0.0,6.8250686754835606,Inland,Urban,22.44871794871795,11.75271161960862,6.513551018096344,4.049729546033814
E02004282,Preston & Lodmoor,retirement_amenity,3.0,5.0,6.0,10.478321203024551,Coastal,Urban,40.956893562926155,13.027102036192687,7.731301860610008,5.30996006910028
E02004283,Westham North & Radipole,urban_working_coastal,0.0,7.0,0.0,9.310129987822492,Inland,Urban,28.516819571865444,11.75271161960862,7.221545693976381,4.814363795984254
E02004284,"Weymouth Town, Melcombe Regis & Rodwell",urban_working_coastal,0.0,15.0,2.0,5.947155277392314,Coastal,Urban,27.706841067164955,12.673104698252668,7.292345161564385,4.446206564526634
E02004285,Westham South,urban_working_coastal,0.0,11.0,0.0,7.39146441618759,Inland,Urban,23.87314271444625,10.442921469230551,7.221545693976381,4.531165925632239
E02004286,Weymouth West,urban_working_coastal,2.0,13.0,4.0,7.462263883775594,Coastal,Urban,27.83139649399251,13.777576392625528,6.6551499532723515,5.465718897793889
E02004287,Wyke Regis,urban_working_coastal,0.0,13.0,4.0,7.816261221715613,Coastal,Urban,26.817042606516292,10.888958115034974,7.051626971765172,5.805556342216306
E02004288,Underhill & The Grove,urban_working_coastal,3.0,11.0,2.0,5.805556342216306,Coastal,Rural,19.381841596909208,11.497833536291807,6.371952082920337,3.6107728469881906
E02004289,Southwell & Weston,urban_working_coastal,3.0,11.0,2.0,6.7967488884483584,Coastal,Rural,26.79495686794957,8.70833451332446,6.301152615332333,3.7806915691994
E02007006,Dorchester North,urban_working_coastal,1.0,4.0,4.0,8.481068222366968,Inland,Urban,32.175249807840125,12.630625017699868,10.336722267848543,5.550678258899493
E02007007,Poundbury & Dorchester West,urban_working_coastal,2.0,4.0,2.0,9.628727591968508,Inland,Urban,26.40022516183507,13.593497776896715,10.63408003171816,7.079946758800374
